nome,preço
Flamengo Home 2008-09,"R$219,99"
Brasil Home 2002-03,"R$219,99"
Arsenal Home 2005-06,"R$219,99"
Fiorentina Home 1998-99,"R$219,99"
Flamengo Home 2003-04,"R$219,99"
Parma Away 2002-03,"R$219,99"
Real Madrid Away 2006-07,"R$219,99"
Milan Away 2006-07,"R$219,99"
Brasil Home 1998-99,"R$219,99"
Japão Home 1998-99,"R$219,99"
Manchester United Home 2007-08,"R$239,99"
Barcelona Home 2014-15,"R$219,99"
Flamengo Home 1995,"R$219,99"
Inter de Milão Home 2009-10,"R$219,99"
Manchester United Home 1998-99,"R$219,99"
Milan Home 2006-07,"R$219,99"
Celtic Home 1997-99,"R$219,99"
Argentina Away 1994,"R$219,99"
Milan Away 2006-07 M/L,"R$239,99"
Milan Home 2009-10 M/L,"R$239,99"
PSG Jordan Black 2018-19,"R$219,99"
Liverpool Home 2018-19,"R$219,99"
Real Madrid Away 2014-15,"R$219,99"
França Away 2006-07,"R$219,99"
Inter de Milão Home 1997-98,"R$219,99"
Barcelona Home 1992-94,"R$219,99"
Liverpool Away 1996-97,"R$219,99"
Chelsea Home 2012-13,"R$219,99"
Real Madrid Third 2014-15 M/L,"R$239,99"
Inter de Milão Third 2004-05,"R$219,99"
Manchester United Home 1992-94,"R$219,99"
Real Madrid Third 2014-15,"R$219,99"
Corinthians Away 2000,"R$219,99"
Bayern de Munique Away 1997-99,"R$219,99"
Corinthians São Jorge 2011-12,"R$219,99"
Boca Juniors Home 1996-97,"R$219,99"
Manchester United Centenário 2001-02,"R$219,99"
Brasil Home 1994,"R$219,99"
Barcelona Home 1999,"R$219,99"
Chelsea Home 2012-13 M/L,"R$239,99"
Real Madrid Away 2006-07 M/L,"R$239,99"
Jamaica Away 1998-99,"R$219,99"
Flamengo Centenário 1995,"R$219,99"
Milan Home 2013-14,"R$219,99"
Fiorentina Home 1998-99 M/L,"R$239,99"
Real Madrid Home 2016-17,"R$219,99"
Arsenal Home 2004-05,"R$219,99"
Milan Third 2007-08,"R$219,99"
Nigéria Home 1996,"R$219,99"
Inglaterra Home 1998-99,"R$219,99"
França Home 1998-99,"R$219,99"
Espanha Away 2010-11,"R$219,99"
Escócia Home 1996-98,"R$219,99"
Napoli Home 1987-88,"R$219,99"
Juventus Away 2015-16 M/L,"R$239,99"
Real Madrid Home 2011-12,"R$219,99"
Real Madrid Home 2002-03,"R$219,99"
Real Betis Home 1995-96,"R$219,99"
Barcelona Home 2010-11,"R$219,99"
Manchester United Home 2007-08,"R$219,99"
Milan Home 2008-09,"R$219,99"
Flamengo Home 2019-20,"R$219,99"
Inter de Milão Centenário 2007-08,"R$219,99"
Holanda Home 1988,"R$219,99"
Brasil Away 1998-99,"R$219,99"
Milan Home 2006-07 M/L,"R$239,99"
Juventus Home 2004-05,"R$219,99"
Juventus Third 1995-97,"R$219,99"
Real Madrid Away 2016-17,"R$219,99"
Real Madrid Third 1999-00,"R$219,99"
Real Madrid Third 2017-18 M/L,"R$239,99"
Barcelona Home 2017-18,"R$219,99"
Newcastle Home 1995-97,"R$219,99"
PSG x Jordan 2024-25 M/L,"R$219,99"
Manchester United Home 2007-08 UCL,"R$254,99"
Nigeria Home 2018,"R$219,99"
Corinthians Home 2012 Patch Mundial,"R$234,99"
Corinthians Away 2010,"R$219,99"
Japão Home 2000-01,"R$219,99"
Inglaterra Home 1994-95,"R$219,99"
Brasil Home 2010-11,"R$219,99"
Boca Juniors Home 1981,"R$219,99"
Flamengo Away 1995,"R$219,99"
Corinthians Home 2012,"R$219,99"
Olympique de Marsellie Home 1998-99,"R$219,99"
Roma Home 1999-00,"R$219,99"
Milan Home 2014-15,"R$219,99"
Milan Home 2009-10,"R$219,99"
Juventus Home 2014-15,"R$219,99"
Inter de Milão Home 1999-00,"R$219,99"
Inter de Milão Away 2009-10,"R$219,99"
Barcelona Home 2016-17,"R$219,99"
Manchester United Away 1993-94,"R$219,99"
Manchester United Home 1998-99 M/L,"R$239,99"
Manchester City Home 1997-98,"R$219,99"
Liverpool Home 2006-08,"R$219,99"
Manchester United Home 1991-92,"R$219,99"
Japão Home 2000 M/L,"R$239,99"
Flamengo Away 2019-20,"R$219,99"
Barcelona Third 2013-14,"R$219,99"
Tottenham Home 1991-93,"R$219,99"
Inglaterra Home 2012-13,"R$219,99"
Corinthians Home 2000,"R$219,99"
Inter de Milão Home 2008-09,"R$219,99"
Liverpool Home 2005-06,"R$219,99"
Espanha Home 2010-11,"R$219,99"
Boca Juniors Home 2003-04,"R$219,99"
Boca Juniors Away 1996-97,"R$219,99"
Flamengo Home 2009-10,"R$219,99"
Corinthians Centenário 2010,"R$219,99"
Corinthians Third 2018-19,"R$219,99"
Borussia Dortmund Home 2012-13,"R$219,99"
Milan Home 2010-11,"R$219,99"
Juventus Away 2015-16,"R$219,99"
Juventus Home 1999-00,"R$219,99"
Fiorentina Home 1999-00 Batistuta #9,"R$249,99"
Fiorentina Home 1999-00,"R$219,99"
Real Madrid Home 1998-99,"R$219,99"
Real Madrid Home 2000-01,"R$219,99"
Real Madrid Home 2014-15,"R$219,99"
Barcelona Home 2015-16,"R$219,99"
Barcelona Home 2005-06 UCL,"R$219,99"
Barcelona Home 2008-09 UCL,"R$219,99"
Manchester United Away 1990-92,"R$219,99"
Liverpool Home 1993-95,"R$219,99"
Chelsea Home 2011-12 UCL,"R$219,99"
Barcelona Third 2019-20,"R$219,99"
Milan Third 1998-99,"R$219,99"
Argentina Home 1998,"R$219,99"
Flamengo Away 2008-09,"R$219,99"
Corinthians Home 2011,"R$219,99"
Barcelona Away 2016-17,"R$219,99"
Flamengo Home 2017-18,"R$219,99"
PSG Home 2017-18,"R$219,99"
Chelsea Third 2019-20,"R$219,99"
Real Madrid Away 2014-15 M/L,"R$239,99"
Corinthians Home 2010,"R$219,99"
Real Madrid Away 2015-16,"R$219,99"
Parma Home 1999-00 M/L,"R$239,99"
México Home 1998-99,"R$219,99"
Brasil Away 2002-03,"R$219,99"
Brasil Home 2004-05,"R$219,99"
Argentina Away 2006,"R$219,99"
Alemanha Home 2006,"R$219,99"
Alemanha Away 2014,"R$219,99"
Alemanha Home 2014,"R$219,99"
Porto Home 2003-04,"R$219,99"
Boca Juniors Home 1981 M/L,"R$239,99"
Borussia Dortmund Home 1997-98,"R$219,99"
Bayern de Munique Home 2013-14,"R$219,99"
Bayern de Munique Away 1995-96,"R$219,99"
Napoli Home 1986-87,"R$219,99"
Milan Home 1996-97,"R$219,99"
Milan Third 2011-12,"R$219,99"
Milan Home 2013-14 M/L,"R$239,99"
Juventus Home 1995-97,"R$219,99"
Inter de Milão Home 2001-02,"R$219,99"
Inter de Milão Home 2010-11,"R$219,99"
Real Madrid Home 2013-14,"R$219,99"
Real Madrid Home 1997-98,"R$219,99"
Real Madrid Third 2012-13,"R$219,99"
Barcelona Home 2009-10,"R$219,99"
Barcelona Away 2010-11,"R$219,99"
Tottenham Home 2008-09,"R$219,99"
Newcastle Home 2005-06,"R$219,99"
Manchester United Away 2008-09 M/L,"R$219,99"
Manchester United Home 2013-14,"R$219,99"
Manchester United Home 2002-04,"R$219,99"
Manchester United Home 1999-00,"R$219,99"
Manchester United Home 1996-97 M/L,"R$239,99"
Liverpool Away 1993-95,"R$219,99"
Chelsea Home 2005-06,"R$219,99"
Manchester United Away 2012-13,"R$219,99"
Manchester City Home 2013-14,"R$219,99"
Manchester United Away 2003-04,"R$219,99"
Real Madrid Third 2015-16,"R$219,99"
Borussia Dortmund Home 1994-95,"R$219,99"
Olympique de Marsellie Away 1998-99,"R$219,99"
Inglaterra Home 2006-07,"R$219,99"
Valencia Away 2006-07,"R$219,99"
Milan Away 2009-10,"R$219,99"
Portugal Home 2016-17,"R$219,99"
Inglaterra Home 1998-99 M/L,"R$239,99"
Escócia Away 1988-89,"R$219,99"
Escócia Away 1991-93,"R$219,99"
Brasil Home 1998-99 M/L,"R$239,99"
Brasil Home 2006-07,"R$219,99"
Brasil Home 1970,"R$219,99"
PSG Away 2000-01,"R$219,99"
PSG Home 1998-99,"R$219,99"
Borussia Dortmund Home 1998-99,"R$219,99"
Borussia Dortmund Home 1995-97,"R$219,99"
Bayern de Munique Home 2010-11,"R$219,99"
Milan Home 1999-00,"R$219,99"
Milan Home 2003-04,"R$219,99"
Juventus Home 2017-18,"R$219,99"
Juventus Third 2004-05,"R$219,99"
Juventus Home 2002-03,"R$219,99"
Inter de Milão Third 1997-98,"R$219,99"
Inter de Milão Home 2010-11 M/L,"R$219,99"
Real Madrid Home 2010-11,"R$219,99"
Real Madrid Home 2011-12 M/L,"R$239,99"
Real Madrid Home 2014-15 M/L,"R$239,99"
Real Madrid Home 2012-13,"R$219,99"
Real Madrid Home 2017-18 M/L,"R$239,99"
Real Madrid Home 2017-18,"R$219,99"
Real Madrid Away 2017-18 M/L,"R$239,99"
Barcelona Home 1998-99,"R$219,99"
West Ham Home 1995-97,"R$219,99"
Tottenham Away 1994-95,"R$219,99"
Manchester United Away 2008-09,"R$219,99"
Manchester United Away 2006-07,"R$219,99"
Manchester United Home 1994-96,"R$219,99"
Manchester United Away 1998-99 M/L,"R$239,99"
Manchester United Away 1998-99,"R$219,99"
Liverpool Home 1995-96,"R$219,99"
Liverpool Home 2014-15,"R$219,99"
Chelsea Home 1997/99,"R$219,99"
Chelsea Home 2008-09 UCL,"R$219,99"
Arsenal Home 2000-02,"R$219,99"
Arsenal Away 1999-01,"R$219,99"
Arsenal Third 2007-08,"R$219,99"
Arsenal Home 1990-92,"R$219,99"
Real Madrid Home 2015-16 M/L,"R$239,99"
Atletico de Madrid Away 2004-05 M/L,"R$239,99"
Atletico de Madrid Home 2004-05 M/L,"R$239,99"
Barcelona Third 2014-15,"R$219,99"
Iugoslávia Home 1998,"R$219,99"
Portugal Home 2006-07 M/L,"R$239,99"
França Home 1984-86,"R$219,99"
Liverpool Home 2010-11 M/L,"R$239,99"
Real Madrid Away 2011-12,"R$219,99"
Flamengo Home 2008-09 M/L,"R$239,99"
Liverpool Home 2006-08 M/L,"R$239,99"
Real Madrid Third 2013-14,"R$219,99"
Real Madrid Away 2010-11 M/L,"R$239,99"
Manchester City Away 1997-98,"R$219,99"
Brasil Centenário 2004,"R$219,99"
Manchester United Home 2002-04 M/L,"R$239,99"
Flamengo Home 2000-01,"R$219,99"
Real Madrid Home 2003-04,"R$219,99"
Real Madrid Home 2016-17 M/L,"R$239,99"
Real Madrid Home 2006-07 M/L,"R$239,99"
Arsenal Home 2000-02 M/L,"R$239,99"
Milan Home 2012-13,"R$219,99"
Arsenal Away 2005-06,"R$219,99"
Milan Home 2007-08 M/L,"R$239,99"
Manchester United Home 2006-07 M/L,"R$239,99"
Arsenal Home 2005-06 M/L,"R$239,99"
Portugal Home 2014-15,"R$219,99"
Portugal Away 2012-13 M/L,"R$239,99"
Portugal Away 2012-13,"R$219,99"
Nigéria Away 1996,"R$219,99"
Itália Home 2000-01,"R$219,99"
Itália Away 1996-97,"R$219,99"
Inglaterra Away 2002-03,"R$239,99"
Inglaterra Home 2002-03 M/L,"R$239,99"
Inglaterra Home 1996-97,"R$219,99"
Holanda Home 2010,"R$219,99"
França Home 1996-97,"R$219,99"
França Home 2000-01,"R$219,99"
França Home 2004-05,"R$219,99"
Escócia Third 1988-89,"R$219,99"
Escócia Home 1994-96,"R$219,99"
Brasil Home 1991-93,"R$219,99"
Argentina Home 2006,"R$219,99"
Alemanha Home 1994,"R$219,99"
Alemanha Away 2010,"R$219,99"
River Plate Home 2008-09,"R$219,99"
Rangers Home 1996-97,"R$219,99"
PSV Away 1998-99,"R$219,99"
Celtic Home 2005-06,"R$219,99"
Celtic Home 2010-12,"R$219,99"
Celtic Home 2012-13,"R$219,99"
Ajax Home 1994-95,"R$219,99"
Ajax Away 1994-95,"R$219,99"
Olympique de Marsellie Home 2005-06,"R$219,99"
Bayern de Munique Third 2014-15,"R$219,99"
Bayern de Munique Away 1997-99,"R$219,99"
Bayern de Munique Home 1995-97,"R$219,99"
Roma Home 2005-06 M/L,"R$219,99"
Roma Away 2000-01,"R$219,99"
Roma Home 2001-02,"R$219,99"
Napoli Home 1988-89,"R$219,99"
Milan Away 2002-03,"R$219,99"
Milan Home 2002-03,"R$219,99"
Milan Away 2013-14,"R$219,99"
Lazio Home 1999-00,"R$219,99"
Lazio Away 1998-00,"R$219,99"
Inter de Milão Away 1998-99,"R$219,99"
Inter de Milão Home 2002-03,"R$219,99"
Fiorentina Home 1997-98,"R$219,99"
Valencia Home 2009-10,"R$219,99"
Real Madrid Away 2009-10,"R$219,99"
Real Madrid Home 1996-97,"R$219,99"
Real Madrid Third 1998-99,"R$219,99"
Real Madrid Home 2001-02 M/L,"R$239,99"
Real Madrid Away 2005-06,"R$219,99"
Real Madrid Home 2006-07,"R$219,99"
Real Madrid Third 2012-13 M/L,"R$239,99"
Real Madrid Home 2013-14 M/L,"R$239,99"
Real Madrid Away 2017-18,"R$219,99"
Real Betis Home 1996-97,"R$219,99"
Barcelona Home 2003-04,"R$219,99"
Barcelona Home 2007-08,"R$219,99"
Barcelona Away 2008-09,"R$219,99"
Barcelona Away 2013-14,"R$219,99"
Atlético de Madrid Home 2003-04,"R$219,99"
Newcastle Home 1997-99,"R$219,99"
Manchester United Away 2018-19,"R$219,99"
Manchester United Home 2011-12,"R$219,99"
Manchester United Home 2012-13,"R$219,99"
Manchester United Home 2004-06,"R$219,99"
Manchester United Third 1993-94,"R$219,99"
Liverpool Home 1996-97,"R$219,99"
Liverpool Away 1999-00,"R$219,99"
Liverpool Away 2009-10,"R$219,99"
Chelsea Away 2003-05,"R$219,99"
Arsenal Away 2000-01,"R$219,99"
Arsenal Away 1994-95,"R$219,99"
Arsenal Away 1997-98,"R$219,99"
Real Madrid Third 2011-12 Versão Jogador M/L,"R$259,99"
Flamengo Home 1990,"R$219,99"
Manchester United Away 1998-99,"R$219,99"
Getafe Home 2009-10,"R$219,99"
Holanda Home 2014-15,"R$219,99"
Itália Home 2012-13,"R$219,99"
Espanha Home 2012-13,"R$219,99"
Barcelona Third 2016-17,"R$219,99"
Barcelona Away 2013-14,"R$219,99"
Real Betis Home 1995-97 M/L,"R$239,99"
Real Madrid Away 2011-12 M/L,"R$239,99"
Espanha Away 2010 M/L,"R$239,99"
Barcelona Third 2018-19,"R$219,99"
Real Madrid Third 2013-14 M/L,"R$239,99"
Real Madrid Away 2010-11,"R$219,99"
Portugal Home 2016-17 M/L,"R$239,99"
New York City Home 2015,"R$219,99"
Arsenal Away 2002-03,"R$219,99"
Brasil Goleiro Centenário 2004 M/L,"R$239,99"
Real Madrid Home 2007-08,"R$219,99"
PSG Away 2001-02,"R$219,99"
Celta de Vigo Home 2003-04,"R$219,99"
Fiorentina Away 1999-00,"R$219,99"
Real Madrid Third 2013-14,"R$219,99"
Barcelona Home 2014-15 M/L,"R$239,99"
Real Madrid Third 2016-17 M/L,"R$239,99"
Milan Away 2007-08,"R$219,99"
Kaizer Chiefs Home 1998-99,"R$219,99"
Portugal Away 2015-16,"R$219,99"
Portugal Home 2004-05,"R$219,99"
México Away 2006,"R$219,99"
México Away 1998-99,"R$219,99"
Itália Away 2006-07,"R$219,99"
Itália Away 1998-99,"R$219,99"
Itália Home 1998-99,"R$219,99"
Itália Home 1996-97,"R$219,99"
Irlanda do Sul Home 1994,"R$219,99"
Irlanda do Sul Home 1990-92,"R$219,99"
Inglaterra Home 2004-05,"R$219,99"
Inglaterra Home 2002-03,"R$219,99"
Holanda Home 2002-03,"R$219,99"
França Home 2006-07,"R$219,99"
França Home 2002-03,"R$219,99"
Espanha Home 2002-03,"R$219,99"
Escócia Home 1992-93,"R$219,99"
Escócia Away 1994,"R$219,99"
Escócia Home 1998-00,"R$219,99"
Escócia Away 1996-98,"R$219,99"
Dinamarca Home 1992-93,"R$219,99"
Croácia Home 2002-03,"R$219,99"
Brasil Away 2006-07,"R$219,99"
Brasil Away 2004-05,"R$219,99"
Brasil Away 2010-11,"R$219,99"
Argentina Away 2014,"R$219,99"
Argentina Home 2010,"R$219,99"
Alemanha GK 2002,"R$219,99"
Alemanha Home 1996,"R$219,99"
Alemanha Home 1998,"R$219,99"
Alemanha Home 2015,"R$219,99"
Sporting Home 2001-03,"R$219,99"
River Plate Home 2008-09 M/L,"R$239,99"
Los Angeles Galaxy Home 2012,"R$219,99"
Los Angeles Galaxy Home 2007-08,"R$219,99"
Boca Juniors Home 2003-04 M/L,"R$239,99"
Benfica Away 2004-05,"R$219,99"
Ajax Home 1995-96,"R$219,99"
Ajax Away 1995-97,"R$219,99"
Ajax Away 2000-01,"R$219,99"
Flamengo Third 2007-08,"R$219,99"
PSG Home 2013-14,"R$219,99"
PSG Home 2012-13,"R$219,99"
PSG Away 2006-07,"R$219,99"
Olympique de Marsellie Home 2002-03,"R$219,99"
Borussia Dortmund Home 2002-03,"R$219,99"
Borussia Dortmund Home 2000-01,"R$219,99"
Bayern de Munique Home 2010-11 M/L,"R$239,99"
Bayern de Munique Home 1993-95,"R$219,99"
Roma Home 2005-06,"R$219,99"
Parma Home 1993-94,"R$219,99"
Parma Home 2001-02,"R$219,99"
Milan Home 1999-00 M/L,"R$239,99"
Milan Away 1996-97,"R$219,99"
Milan Away 2011-12,"R$219,99"
Lazio Away 1999-00,"R$219,99"
Lazio Home 1999-00,"R$219,99"
Lazio Away 2000-01,"R$219,99"
Juventus Away 2011-12,"R$219,99"
Juventus Home 2011-12,"R$219,99"
Juventus Home 2005-06,"R$219,99"
Juventus Away 1994-95,"R$219,99"
Juventus Home 1994-95,"R$219,99"
Inter de Milão Home 1988-90,"R$219,99"
Inter de Milão Away 1990-91,"R$219,99"
Inter de Milão Away 1997-98,"R$219,99"
Inter de Milão Home 1998-99,"R$219,99"
Fiorentina Away 1998-99,"R$219,99"
Valencia Home 2003-04,"R$219,99"
Real Madrid Home 2010-11 M/L,"R$239,99"
Real Madrid Home 1994-96,"R$219,99"
Real Madrid Home 2004-05,"R$219,99"
Real Madrid Away 2004-05,"R$219,99"
Real Madrid Home 2005-06 M/L,"R$239,99"
Real Madrid Home 2009-10,"R$219,99"
Real Madrid Away 2012-13,"R$219,99"
Real Madrid Home 2015-16,"R$219,99"
Real Madrid Home 2019-20,"R$219,99"
Real Betis Home 2003-04,"R$219,99"
Barcelona Home 1990-92,"R$219,99"
Barcelona Away 1997-98,"R$219,99"
Atlético de Madrid Away 2004-05,"R$219,99"
West Ham Away 1995-97,"R$219,99"
Tottenham Away 1992-94,"R$219,99"
Newcastle Home 2000-01,"R$219,99"
Manchester United Home 2009-10,"R$219,99"
Manchester United Home 2010-11,"R$219,99"
Manchester United Away 2010-11,"R$219,99"
Manchester United Away 2002-03,"R$219,99"
Manchester United Away 1992-93,"R$219,99"
Manchester United Home 1996-97,"R$219,99"
Manchester City Home 2007-08,"R$219,99"
Manchester City Away 1998-99,"R$219,99"
Manchester City Home 2011-12,"R$219,99"
Liverpool Home 1992-93,"R$219,99"
Liverpool Away 1995-96,"R$219,99"
Liverpool Third 1994-95,"R$219,99"
Liverpool Home 1998-99,"R$219,99"
Liverpool Away 2000-01,"R$219,99"
Liverpool Home 2004-05,"R$219,99"
Liverpool Home 2008-10,"R$219,99"
Leeds Home 2000-01,"R$219,99"
Chelsea Home 1996-97,"R$219,99"
Chelsea Away 2003-05 M/L,"R$239,99"
